Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,753953,-,Selenge,Mongolia,48.81,106.9,0,1583,8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.1.1
Year,Month,Day,Hour,Minute,Temperature,Wind Direction,Relative Humidity,Pressure
2012,1,1,0,30,-18.6,344,93.68,847
2012,1,1,1,30,-18.1,351,89.04,847
2012,1,1,2,30,-17.1,352,87.32000000000001,848
2012,1,1,3,30,-16.3,351,86.65,848
2012,1,1,4,30,-15.8,349,86.21000000000001,848
2012,1,1,5,30,-15.5,347,86.86,848
2012,1,1,6,30,-15.5,346,88.55,848
2012,1,1,7,30,-15.9,344,91.96000000000001,849
2012,1,1,8,30,-16.5,341,95.75,849
2012,1,1,9,30,-17.2,341,97.06,849
2012,1,1,10,30,-17.7,340,97.22,849
2012,1,1,11,30,-18,338,97.27,850
2012,1,1,12,30,-18.3,333,97.44,850
2012,1,1,13,30,-18.6,327,97.72,850
2012,1,1,14,30,-18.8,320,97.59,850
2012,1,1,15,30,-19,313,97.54,850
2012,1,1,16,30,-19.1,310,96.08,850
2012,1,1,17,30,-19.200000000000003,312,95.16,850
2012,1,1,18,30,-19.3,313,93.96000000000001,850
2012,1,1,19,30,-19.400000000000002,314,93.38,850
2012,1,1,20,30,-19.6,312,94.32000000000001,850
2012,1,1,21,30,-19.8,308,93.62,850
2012,1,1,22,30,-20,306,93.4,850
2012,1,1,23,30,-20.1,306,92.16,850
2012,1,2,0,30,-20.6,306,92.32000000000001,851
2012,1,2,1,30,-20,314,86.69,851
2012,1,2,2,30,-18.8,321,84.13,851
2012,1,2,3,30,-17.8,323,83.98,851
2012,1,2,4,30,-17.1,323,83.64,851
2012,1,2,5,30,-16.8,322,84.11,851
2012,1,2,6,30,-16.8,322,85.32000000000001,851
2012,1,2,7,30,-17.2,320,88.66,851
2012,1,2,8,30,-17.900000000000002,318,92.07000000000001,852
2012,1,2,9,30,-18.5,317,92.3,852
2012,1,2,10,30,-18.7,315,92.48,852
2012,1,2,11,30,-19,311,94.36,852
2012,1,2,12,30,-19.5,304,95.01,852
2012,1,2,13,30,-20,295,94.63,851
2012,1,2,14,30,-20.5,282,96.10000000000001,851
2012,1,2,15,30,-21.3,265,98.81,851
2012,1,2,16,30,-22.3,244,100,851
2012,1,2,17,30,-23.3,223,100,851
2012,1,2,18,30,-24.1,209,100,851
2012,1,2,19,30,-25,200,100,851
2012,1,2,20,30,-25.8,195,100,850
2012,1,2,21,30,-26.400000000000002,192,100,850
2012,1,2,22,30,-26.900000000000002,190,99.26,850
2012,1,2,23,30,-27.1,189,96.77,850
2012,1,3,0,30,-26.900000000000002,187,91.66,850
2012,1,3,1,30,-25.1,189,79.14,850
2012,1,3,2,30,-22.200000000000003,196,73.16,849
2012,1,3,3,30,-19.900000000000002,203,72.31,849
2012,1,3,4,30,-18.7,208,71.41,848
2012,1,3,5,30,-18.2,212,72.42,848
2012,1,3,6,30,-18.2,214,74.08,847
2012,1,3,7,30,-19.6,213,82.87,847
2012,1,3,8,30,-22.200000000000003,207,90.48,847
2012,1,3,9,30,-24.3,200,88.8,847
2012,1,3,10,30,-24.900000000000002,194,87.75,847
2012,1,3,11,30,-24.900000000000002,192,86.39,846
2012,1,3,12,30,-24.700000000000003,190,85.48,846
2012,1,3,13,30,-24.5,190,85.55,845
2012,1,3,14,30,-24.400000000000002,190,86.28,845
2012,1,3,15,30,-24.400000000000002,190,86.99,844
2012,1,3,16,30,-24.3,191,87.35000000000001,844
2012,1,3,17,30,-24,190,87.17,844
